,country,points,price,variety
555,20,91,50.0,14
556,0,91,28.0,17
557,20,91,30.0,14
558,9,91,25.0,20
559,22,85,8.0,16
560,9,85,15.0,5
561,22,85,22.0,20
562,0,85,14.0,3
563,22,85,8.0,16
564,15,85,80.0,11
565,22,85,9.0,20
566,28,85,13.0,14
567,22,85,10.0,16
568,28,85,16.0,3
569,9,85,10.0,5
570,9,85,22.0,14
571,9,85,40.0,14
572,28,85,32.0,25
573,22,85,12.0,20
574,0,85,17.0,9
575,15,85,102.0,11
576,28,85,35.36879626183683,21
577,9,85,20.0,5
578,28,85,33.0,27
579,15,85,48.0,11
580,1,85,9.0,12
581,28,87,24.0,14
582,28,87,75.0,2
583,9,87,12.0,19
584,28,87,45.0,14
585,6,87,13.0,22
586,9,87,35.36879626183683,7
587,28,87,22.0,5
588,28,87,18.0,7
589,28,87,35.0,27
590,28,87,36.0,14
591,28,87,34.0,14
592,28,87,70.0,24
593,28,87,28.0,24
594,28,87,45.0,24
595,28,87,32.0,17
596,1,87,18.0,14
597,26,87,9.0,25
598,1,87,11.0,3
599,9,92,62.0,5
600,28,92,40.0,23
601,9,92,66.0,5
602,22,92,32.0,15
603,28,92,70.0,14
604,28,92,48.0,14
605,9,92,72.0,5
606,28,92,105.0,14
607,9,92,101.0,4
608,15,92,50.0,26
609,15,92,85.0,5
610,28,92,35.0,23
611,28,92,38.0,27
612,22,90,32.0,15
613,0,90,25.0,17
614,22,90,12.0,15
615,28,90,125.0,3
616,0,90,46.0,5
617,11,90,29.0,19
618,28,90,17.0,3
619,28,90,85.0,14
620,9,90,30.0,0
621,28,90,34.0,17
622,9,90,35.0,0
623,9,90,45.0,0
624,9,90,20.0,0
625,9,90,17.0,0
626,9,90,45.0,0
627,28,90,20.0,3
628,28,90,50.0,24
629,9,90,22.0,6
630,28,90,39.0,10
631,28,90,35.0,5
632,28,90,15.0,19
633,28,90,27.0,5
634,1,90,66.0,5
635,26,90,20.0,25
636,28,90,125.0,3
637,28,90,42.0,24
638,1,90,22.0,17
639,15,86,35.36879626183683,21
640,28,86,18.0,22
641,28,86,22.0,7
642,6,86,12.0,10
643,9,86,15.0,6
644,26,86,15.0,23
645,15,86,20.0,21
646,28,86,28.0,9
647,28,86,10.0,10
648,15,86,70.0,21
649,15,86,28.0,21
650,6,86,11.0,10
651,9,86,15.0,5
652,9,86,23.0,6
653,9,86,35.36879626183683,6
654,15,86,30.0,11
655,6,86,10.0,3
656,9,86,12.0,6
657,26,86,13.0,23
658,26,86,15.0,23
659,28,86,36.0,24
660,28,86,20.0,19
661,9,86,35.36879626183683,20
662,28,86,10.0,5
663,9,86,16.0,6
664,28,86,25.0,2
665,9,90,33.0,14
666,9,90,35.36879626183683,14
667,9,90,70.0,14
668,9,90,117.0,5
669,9,90,35.36879626183683,14
670,11,90,30.0,19
671,28,90,20.0,27
672,28,90,35.0,5
673,28,90,28.0,24
674,28,90,15.0,13
675,28,90,150.0,3
676,28,90,45.0,2
677,28,90,45.0,14
678,15,90,35.36879626183683,26
679,1,90,25.0,20
680,28,90,40.0,14
681,28,90,29.0,24
682,28,90,42.0,10
683,13,90,16.0,26
684,22,90,35.36879626183683,15
685,26,90,50.0,17
686,15,90,35.36879626183683,17
687,9,90,35.0,0
688,9,90,45.0,0
689,28,90,20.0,24
690,26,90,44.0,17
691,28,90,22.0,3
692,15,90,35.36879626183683,17
693,28,90,28.0,23
694,9,90,25.0,18
695,22,90,60.0,16
696,28,90,72.0,2
697,28,90,44.0,14
698,28,90,29.0,14
699,28,90,58.0,0
700,15,90,29.0,21
701,15,90,45.0,17
702,28,90,70.0,24
703,28,90,39.0,24
704,15,90,35.36879626183683,17
705,15,90,28.0,21
706,26,90,48.0,17
707,22,90,50.0,16
708,11,87,10.0,19
709,15,87,50.0,11
710,15,87,39.0,11
711,15,87,35.0,11
712,0,87,30.0,0
713,28,87,18.0,20
714,0,87,20.0,9
715,28,87,25.0,14
716,28,87,20.0,13
717,15,87,50.0,11
718,15,87,50.0,11
719,0,87,15.0,13
720,1,87,35.36879626183683,22
721,22,87,9.0,16
722,0,87,12.0,22
723,1,87,18.0,22
724,0,87,175.0,9
725,15,87,60.0,11
726,28,87,20.0,27
727,0,87,15.0,9
728,15,87,35.0,11
729,9,87,14.0,0
730,9,87,16.0,0
731,9,87,15.0,0
732,9,87,14.0,0
733,28,87,40.0,5
734,26,87,15.0,25
735,28,87,55.0,0
736,9,87,38.0,4
737,28,87,34.0,14
738,28,87,17.0,5
739,28,87,65.0,21
740,22,87,13.0,15
741,22,87,15.0,15
742,15,87,23.0,11
743,28,87,40.0,5
744,28,87,38.0,14
745,28,87,15.0,3
746,15,87,50.0,11
747,28,87,24.0,22
748,26,87,18.0,20
749,9,87,40.0,4
750,9,87,18.0,0
751,9,87,20.0,0
752,9,85,40.0,4
753,9,85,11.0,0
754,20,85,9.0,22
755,6,85,10.0,5
756,15,85,35.36879626183683,20
757,28,85,19.0,3
758,9,85,15.0,4
759,28,85,35.0,24
760,28,85,30.0,17
761,15,85,12.0,14
762,28,85,17.0,26
763,28,85,15.0,26
764,9,85,10.0,22
765,9,85,10.0,22
766,15,85,16.0,3
767,28,85,25.0,7
768,23,85,12.0,17
769,0,88,20.0,3
770,28,88,20.0,13
771,28,88,12.0,22
772,9,88,35.36879626183683,0
773,9,88,14.0,17
774,9,88,22.0,22
775,15,88,26.0,26
776,15,88,14.0,24
777,28,88,18.0,13
778,28,88,17.0,19
779,28,88,24.0,3
780,28,88,60.0,14
781,9,88,26.0,0
782,9,88,25.0,1
783,9,88,16.0,22
784,28,88,40.0,14
785,9,88,21.0,22
786,6,88,18.0,3
787,28,88,75.0,14
788,28,88,16.0,13
789,15,88,35.36879626183683,17
790,28,88,42.0,18
791,28,88,48.0,17
792,9,88,20.0,7
